codigo_postal,municipio_id,nombre_entidad_singular
04647,04035,"LOBOS (LOS)"
04647,04075,"FUENTE (LA)"
04648,04035,"POZO DEL ESPARTO (EL)"
04648,04075,"SAN JUAN DE TERREROS"
04649,04075,"ESTACION (LA)"
04650,04103,ZURGENA
04659,04091,TERQUE
04660,04017,"TORRES (LOS)"
04661,04089,"LLANOS (LOS)"
04661,04103,"LLANOS (LOS)"
04662,04053,"PILAR (EL)"
04662,04103,"PALACES (EL)"
04690,04053,"NORIAS (LAS)"
04691,04053,HUERCAL-OVERA
04692,04006,"LABORES (LAS)"
04692,04053,ALMAJALEJO
04692,04089,"RAMBLA DE TABERNO"
04693,04053,"MINAS (LAS)"
04694,04053,"ATALAYA (LA)"
04700,04902,"EJIDO (EL)"
04710,04902,"SANTA MARÍA DEL ÁGUILA"
04711,04902,"ENSENADA SAN MIGUEL"
04712,04902,BALERMA
04713,04904,BALANEGRA
04715,04902,MATAGORDA
04716,04902,"NORIAS (LAS)"
04720,04079,AGUADULCE
04721,04102,"GANGOSA (LA)"
04727,04102,"GANGOSA (LA)"
04728,04043,FELIX
04729,04041,"PALMER (EL)"
04738,04102,"GANGOSA (LA)"
04740,04079,"ROQUETAS DE MAR"
04741,04079,"URBANIZACION ROQUETAS MAR"
04743,04079,"MARINAS (LAS)"
04745,04903,"MOJONERA (LA)"
04746,04903,"VENTA DEL VISO"
04750,04038,DALIAS
04760,04029,CASTALA
04768,04007,LUCAINENA
04768,04029,BENINAR
04769,04029,BENINAR
04770,04003,"CURVA (LA)"
04778,04003,"TORIL (EL)"
04779,04003,"VENTA NUEVA"
04779,04020,BAYARCAL
04779,04073,GUARROS
04800,04006,"CAÑICO (EL)"
04810,04070,"RAMBLA DE ORIA (LA)"
04810,04072,"RETAMAR (EL)"
04811,04070,"RAMBLA DE ORIA (LA)"
04812,04006,"RAMBLA (LA)"
04813,04006,"SALIENTE BAJO"
04813,04070,"MARGEN (EL)"
04814,04006,"LABORES (LAS)"
04815,04031,"CASICAS (LAS)"
04820,04099,TONOSA
04825,04037,"ROQUEZ (EL)"
04826,04099,"ASENSIOS (LOS)-SALADILLA"
04827,04099,TONOSA
04828,04099,"CARRASCA (LA)"
04829,04098,"PIAR (EL)"
04829,04099,"ESPADIN (EL)"
04830,04098,TOPARES
04838,04063,MARIA
04839,04063,CASABLANCA
04839,04098,TOPARES
04850,04031,"TERREROS (LOS)"
04857,04004,"PALMERA (LA)"
04858,04004,"UTRERAS (LOS)"
04858,04031,"ARROYO ALBANCHEZ (EL)"
04859,04034,COBDAR
04859,04036,"CERCADO (EL)"
04859,04058,LIJAR
04860,04069,"OLULA DEL RIO"
04867,04062,MACAEL
04868,04056,"REUL ALTO (EL)"
04869,04044,"LLANO DE LA HERRA"
04870,04076,PURCHENA
04877,04061,LUCAR
04877,04085,SOMONTIN
04878,04084,SIERRO
04878,04087,SUFLI
04879,04096,URRACAL
04880,04092,TIJOLA
04887,04061,LUCAR
04887,04092,TIJOLA
04888,04018,"ARMUÑA DE ALMANZORA"
04888,04021,BAYARQUE
04889,04019,"MOJONERA (LA)"
04889,04092,DALI
04890,04083,MANACA
04897,04008,PILANCON
04897,04083,MANACA
04898,04008,"HIJATE (EL)"
04898,04083,"RAMIL (EL)"
04899,04070,"NEGRO (EL)"
04899,04083,JORVILA
04964,04053,"ATALAYA (LA)"
05001,05019,AVILA
05002,05019,AVILA
05003,05019,AVILA
05004,05019,AVILA
05005,05019,AVILA
05100,05163,"VIÑA (LA)"
05110,05022,"RINCONADA (LA)"
05111,05211,"CALAS DEL BURGUILLO"
05113,05041,"PUENTE NUEVA"
05114,05905,"VILLANUEVA DE AVILA"
05115,05167,NAVARREVISCA
05115,05233,SERRANILLOS
05116,05233,SERRANILLOS
05120,05158,NAVALMORAL
05120,05166,NAVARREDONDILLA
05120,05212,VILLAREJO
